/* DATA DESCRIPTION:
THIS IS PRELIMINARY RAW DATA! DO NOT USE IN PUBLICATIONS!
FOR PUBLICATIONS VISIT WWW.PANGAEA.DE TO FIND THE VALIDATED DATASET!
Institution: Alfred Wegener Institut, Helmholtz Center for Polar and Marine Research
Station name: DBLK
WMO ID: 00067
PI: Holger Schmithüsen [holger.schmithuesen@awi.de]
Operator: Alina Herzog
Cruise: PS116


Coverage:	LATITUDE: 40.81954 * LONGITUDE: -11.52920
	DATE/TIME START: 2018-11-15T11:24:25 * DATE/TIME END: 2018-11-15T13:16:33
	MINIMUM ALTITUDE: 10m * MAXIMUM ALTITUDE: 33735m
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
2960	708.65	-0.20	49.6	155	10.2
2964	708.29	-0.21	49.6	155	10.2
2966	707.95	-0.21	49.9	155	10.2
2969	707.62	-0.23	50.1	156	10.3
2974	707.30	-0.24	50.1	156	10.3
2977	706.98	-0.24	50.1	156	10.3
2981	706.65	-0.24	49.8	156	10.3
2984	706.30	-0.24	49.6	156	10.3
2988	705.95	-0.24	49.6	156	10.3
2992	705.57	-0.25	49.7	156	10.3
2997	705.18	-0.26	49.8	156	10.3
3002	704.78	-0.27	49.8	156	10.3
3007	704.37	-0.28	49.7	155	10.3
3010	703.94	-0.30	49.7	155	10.3
3016	703.51	-0.33	49.8	155	10.3
3022	703.07	-0.36	49.9	155	10.3
3027	702.62	-0.41	49.9	155	10.3
3032	702.17	-0.45	49.8	154	10.3
3036	701.70	-0.49	49.6	154	10.3
3041	701.23	-0.53	49.2	154	10.3
